fecha,casos_totales,casos_activos,recuperados
06/03/20,1,1,0
07/03/20,6,6,0
08/03/20,7,7,0
09/03/20,9,9,0
10/03/20,11,11,0
11/03/20,17,17,0
12/03/20,22,22,0
13/03/20,38,38,0
14/03/20,43,43,0
15/03/20,71,71,0
16/03/20,86,85,1
17/03/20,117,116,1
18/03/20,145,144,1
19/03/20,234,232,2
20/03/20,263,258,5
21/03/20,318,312,6
22/03/20,363,357,6
23/03/20,395,389,6
24/03/20,416,408,8
25/03/20,480,470,10
26/03/20,580,557,23
27/03/20,635,608,27
28/03/20,671,639,32
29/03/20,852,818,34
30/03/20,950,873,77
31/03/20,1065,641,424
01/04/20,1323,891,432
02/04/20,1414,822,592
03/04/20,1595,997,598
04/04/20,1746,759,987
05/04/20,2281,1209,1072
06/04/20,2561,1472,1089
07/04/20,2954,1546,1408
08/04/20,4342,2888,1454
09/04/20,5256,3680,1576
10/04/20,5897,4159,1738
11/04/20,6848,4928,1920
12/04/20,7519,5528,1991
13/04/20,9784,6926,2858
14/04/20,10303,7204,3099
15/04/20,11475,8113,3362
16/04/20,12491,6097,6394
17/04/20,13489,6648,6841
18/04/20,14420,7388,7032
19/04/20,15628,8417,7211
20/04/20,16325,8912,7413
21/04/20,17837,10371,7466
22/04/20,19250,11693,7557
23/04/20,20914,12920,7994
24/04/20,21648,13518,8130
25/04/20,25331,16834,8497
26/04/20,27517,18701,8816
27/04/20,28699,19492,9207
28/04/20,31190,21157,10033
29/04/20,33931,22951,10980
30/04/20,36976,25520,11456
01/05/20,40459,28206,12253
02/05/20,42534,28900,13634
03/05/20,45928,31092,14836
04/05/20,47372,31601,15771
05/05/20,51189,34332,16857
06/05/20,54817,35757,19060
07/05/20,58526,38511,20015
08/05/20,61847,41121,20726
09/05/20,65015,42955,22060
10/05/20,67307,44069,23238
11/05/20,68822,44455,24367
